"code","mean_GDP_per_capita","mean_inequality","Long Name","Income Group","Region","Lending category","Other groups","Currency Unit","Latest population census","Latest household survey","Special Notes","National accounts base year","National accounts reference year","System of National Accounts","SNA price valuation","PPP survey years","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","2-alpha code","WB-2 code","Table Name","Short Name"
"AUS",0.414061237493632,0.267719298245614,"Commonwealth of Australia","High income","East Asia & Pacific",NA,NA,"Australian dollar","2016",NA,NA,"Original chained constant price data are rescaled.",2022,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6",NA,"General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2010","Yes","2015-2016",2013,2018,"AU","AU","Australia","Australia"
"AUT",0.364010567330077,0.176491228070175,"Republic of Austria","High income","Europe & Central Asia",NA,"Euro area","Euro","2011. Population figures compiled from administrative registers.",NA,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.",2015,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6",NA,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","Income survey (IS), 2015","Yes","2010",2014,2018,"AT","AT","Austria","Austria"
"BEL",0.330305286209446,0.152311212814645,"Kingdom of Belgium","High income","Europe & Central Asia",NA,"Euro area","Euro","2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",NA,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.",2015,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6",NA,"Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Income survey (IS), 2015","Yes","2010",2014,2018,"BE","BE","Belgium","Belgium"
"BRA",0.0665194844012094,0.616608187134503,"Federative Republic of Brazil","Upper middle income","Latin America & Caribbean","IBRD",NA,"Brazilian real","2020 (expected)","National Health Survey, 2013",NA,"Original chained constant price data are rescaled.",2010,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","2021, 2017, 2011","BPM6","Preliminary","Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","Integrated household survey (IHS), 2016","Yes","2006",2013,2018,"BR","BR","Brazil","Brazil"
"CAN",0.31108686103479,0.245924112607099,"Canada","High income","North America",NA,NA,"Canadian dollar","2016",NA,"Fiscal year end: March 31; reporting period for national accounts data: CY.","Original chained constant price data are rescaled.",2015,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6",NA,"General trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","Labor force survey (LFS), 2013","Yes","2016",2014,2018,"CA","CA","Canada","Canada"
"CHE",0.705095487649402,0.226481994459834,"Switzerland","High income","Europe & Central Asia",NA,NA,"Swiss franc","2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",NA,NA,"Original chained constant price data are rescaled.",2015,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6",NA,"Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Income survey (IS), 2015","Yes","2010",2013,2018,"CH","CH","Switzerland","Switzerland"
"CHL",0.0813870138245521,0.631578947368421,"Republic of Chile","High income","Latin America & Caribbean","IBRD",NA,"Chilean peso","2017",NA,NA,"Original chained constant price data are rescaled.",2018,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","Rolling surveys (annual estimation)","BPM6",NA,"General trade system",NA,"Special Data Dissemination Standard Plus (SDDS Plus)","Integrated household survey (IHS), 2017","Yes","2007",2013,2018,"CL","CL","Chile","Chile"
"CHN",0.0513094030488451,0.463157894736842,"People's Republic of China","Upper middle income","East Asia & Pacific","IBRD",NA,"Chinese yuan","2020 (expected)","National Sample Survey on Population Changes, 2014","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","2020",NA,"Country uses the 2008 System of National Accounts methodology","Value added at producer prices (VAP)","2021, 2017, 2011","BPM6","Preliminary","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2015",NA,"2016",2007,2018,"CN","CN","China","China"
"CIV",0.00921879673040023,0.783157894736842,"Republic of Côte d'Ivoire","Lower middle income","Sub-Saharan Africa","IDA","HIPC","West African CFA franc","2020 (expected)","Multiple Indicator Cluster Survey, 2016",NA,"2015",NA,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","2021, 2017, 2011","BPM6","Actual","Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","Integrated household survey (IHS), 2015",NA,"2014-2015",1997,2018,"CI","CI","Côte d'Ivoire","Côte d'Ivoire"
"COL",0.0413051687768677,0.65185595567867,"Republic of Colombia","Upper middle income","Latin America & Caribbean","IBRD",NA,"Colombian peso","2018","Demographic and Health Survey, 2015",NA,"2015",NA,"Country uses the 2008 System of National Accounts methodology","Value added at basic prices (VAB)","2011, and Rolling surveys (annual estimation) after 2016","BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2017",NA,"2015",2012,2018,"CO","CO","Colombia","Colombia"
